record_id,agent_id,agent_name,customer_id,policy_id,license_status,license_expiry_date,premium_collected,premium_deposited_with_insurer,customer_aware_of_agent_status,complaint_count,agent_office_city,fraud_flag,fraud_type
GB000001,AGT00311,Ikbal Rama,CUST000518,POL000474,Fake/Cloned,05-07-2024,134832,FALSE,TRUE,4,Bengaluru,TRUE,Premium Pocketing - No Remittance
GB000002,AGT00116,Theodore Contractor,CUST001868,POL000120,Valid,18-04-2024,105725,TRUE,TRUE,1,Lucknow,FALSE,None
GB000003,AGT00109,Chatresh Sastry,CUST002836,POL000039,Never Issued,21-04-2026,144720,TRUE,TRUE,3,Chandigarh,TRUE,Fake/Cloned Agent Identity
GB000004,AGT00299,Ishaan Bail,CUST001077,POL000825,Suspended,16-11-2022,35161,TRUE,FALSE,4,Delhi,TRUE,Fake/Cloned Agent Identity
GB000005,AGT00144,Manbir Roy,CUST002294,POL000603,Fake/Cloned,18-07-2022,111803,TRUE,TRUE,2,Chennai,TRUE,Fake/Cloned Agent Identity
GB000006,AGT00311,Ikbal Rama,CUST000141,,Never Issued,13-06-2021,88298,TRUE,FALSE,1,Bengaluru,TRUE,Expired License Sales
GB000007,AGT00377,Isha Sen,CUST001715,,Valid,22-12-2026,19083,TRUE,TRUE,0,Bengaluru,FALSE,None
GB000008,AGT00371,Ojas Bora,CUST002821,,Fake/Cloned,10-06-2023,149576,TRUE,TRUE,4,Coimbatore,FALSE,None
GB000009,AGT00250,Prisha Puri,CUST002223,,Suspended,20-11-2023,51723,TRUE,FALSE,3,Jaipur,TRUE,Fake/Cloned Agent Identity
GB000010,AGT00143,Isaiah Madan,CUST002468,,Valid,28-06-2025,113660,TRUE,TRUE,0,Kochi,FALSE,None
GB000011,AGT00020,Shravya Dyal,CUST000676,,Valid,23-08-2023,143768,TRUE,TRUE,0,Coimbatore,FALSE,None
GB000012,AGT00280,George Anne,CUST001464,,Valid,27-02-2021,106071,TRUE,TRUE,1,Pune,FALSE,None
GB000013,AGT00371,Ojas Bora,CUST002580,,Never Issued,29-05-2020,88258,TRUE,FALSE,7,Coimbatore,FALSE,None
GB000014,AGT00022,Azad Dalal,CUST000918,,Valid,22-02-2024,96735,TRUE,TRUE,1,Hyderabad,FALSE,None
GB000015,AGT00001,Manya Lad,CUST000023,POL000457,Expired,06-12-2022,63071,FALSE,FALSE,8,Hyderabad,TRUE,Premium Pocketing - No Remittance
GB000016,AGT00318,Janaki Luthra,CUST002907,POL000313,Valid,17-06-2026,95968,TRUE,TRUE,0,Indore,FALSE,None
GB000017,AGT00037,Samesh Sura,CUST001739,POL000715,Valid,18-05-2020,55094,TRUE,TRUE,0,Indore,FALSE,None
GB000018,AGT00027,Tarak Patla,CUST001823,,Suspended,13-02-2025,43415,TRUE,FALSE,3,Nagpur,FALSE,None
